cooler_id,door_opens,open_time,compressor,power,on_time,min_voltage,max_voltage,temperature,week_day,calday_format,year,month,day,week_day_sin,week_day_cos,customer_id,amount,Warning
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,147.0,68.0,54.6458,180.75,24.0,118.0,132.0,8.425,Sabado,2024-06-01,2024,6,1,-0.9749279121818236,-0.2225209339563146,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,433.9565,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,70.8571,33.25,3.5,128.0,132.0,6.1286,Domingo,2024-06-02,2024,6,2,-0.7818314824680299,0.6234898018587334,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,433.9565,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,147.0,62.0,68.7708,222.6667,24.0,118.0,132.0,7.3,Viernes,2024-05-31,2024,5,31,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,60.9792,190.6667,24.0,118.0,132.0,5.7271,Viernes,2024-05-17,2024,5,17,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,26.55,35.5,10.0,122.0,132.0,7.17,Sabado,2024-05-18,2024,5,18,-0.9749279121818236,-0.2225209339563146,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,148.0,81.0,68.9167,223.5,24.0,120.0,132.0,7.7188,Jueves,2024-05-30,2024,5,30,0.43388373911755823,-0.900968867902419,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,54.0,10.0,42.2727,62.75,11.0,120.0,132.0,7.4636,Viernes,2024-05-31,2024,5,31,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,19.875,64.1667,24.0,128.0,132.0,5.4688,Domingo,2023-11-26,2023,11,26,-0.7818314824680299,0.6234898018587334,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,240.1703,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,24.8333,76.8333,24.0,126.0,132.0,5.6479,Sabado,2023-11-25,2023,11,25,-0.9749279121818236,-0.2225209339563146,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,240.1703,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,17.6875,56.9167,24.0,126.0,132.0,6.0292,Viernes,2023-11-24,2023,11,24,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,240.1703,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,171.0,34.0,67.9583,220.9167,24.0,118.0,132.0,7.2271,Martes,2024-05-21,2024,5,21,0.7818314824680298,0.6234898018587336,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,129.0,54.0,63.0417,197.5833,24.0,122.0,132.0,5.2458,Lunes,2024-05-20,2024,5,20,0.0,1.0,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,307.2085,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,47.1458,143.1667,24.0,118.0,132.0,5.6646,Jueves,2023-10-12,2023,10,12,0.43388373911755823,-0.900968867902419,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,5.0,9.0,44.6304,128.0833,23.0,42.0,132.0,7.2957,Miercoles,2023-10-11,2023,10,11,0.9749279121818236,-0.22252093395631434,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,38.1667,113.75,24.0,118.0,132.0,5.5,Martes,2023-10-10,2023,10,10,0.7818314824680298,0.6234898018587336,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,42.9583,129.4167,24.0,118.0,132.0,4.5646,Lunes,2023-10-09,2023,10,9,0.0,1.0,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,27.0208,84.1667,24.0,128.0,132.0,5.1021,Domingo,2023-10-08,2023,10,8,-0.7818314824680299,0.6234898018587334,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,32.8958,99.4167,24.0,122.0,132.0,6.1146,Sabado,2023-10-07,2023,10,7,-0.9749279121818236,-0.2225209339563146,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,44.3542,134.3333,24.0,118.0,132.0,5.3271,Viernes,2023-10-06,2023,10,6,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
8c23cc35a965e01affe215db22e5be71b86189f4d6f9c0f9e3d96084ab18e27d,0.0,0.0,43.6875,133.75,24.0,120.0,132.0,5.4333,Viernes,2023-10-13,2023,10,13,-0.433883739117558,-0.9009688679024191,930ea107797bb1377acef7fbeef1fd7160b2d016792f34a76a48db7b7745a288,430.5667,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,73.0,1.0,100.0,387.6667,24.0,120.0,126.0,12.0417,Viernes,2024-06-28,2024,6,28,-0.433883739117558,-0.9009688679024191,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,2653.0925,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,91.0,16.0,84.9167,417.25,24.0,118.0,126.0,7.8333,Sabado,2024-06-29,2024,6,29,-0.9749279121818236,-0.2225209339563146,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,2653.0925,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,77.0,78.0,97.9167,380.0833,24.0,120.0,126.0,12.8896,Jueves,2024-06-27,2024,6,27,0.43388373911755823,-0.900968867902419,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,2653.0925,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,68.0,26.0,72.5417,320.5833,24.0,118.0,126.0,8.7896,Miercoles,2024-06-26,2024,6,26,0.9749279121818236,-0.22252093395631434,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,2653.0925,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,58.0,3.0,92.9583,476.5,24.0,118.0,126.0,6.8896,Domingo,2024-06-30,2024,6,30,-0.7818314824680299,0.6234898018587334,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,2653.0925,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,22.0,0.0,22.2917,86.1667,24.0,122.0,126.0,4.2937,Jueves,2023-12-07,2023,12,7,0.43388373911755823,-0.900968867902419,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,1648.1935,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,25.0,0.0,23.0,66.0,18.0,120.0,126.0,4.4639,Viernes,2023-12-08,2023,12,8,-0.433883739117558,-0.9009688679024191,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,1648.1935,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,42.0,0.0,29.1667,111.75,24.0,122.0,126.0,4.2292,Martes,2023-10-03,2023,10,3,0.7818314824680298,0.6234898018587336,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,1379.2883,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,46.0,0.0,30.5833,116.5,24.0,120.0,126.0,4.1208,Lunes,2023-10-02,2023,10,2,0.0,1.0,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,1379.2883,True
35d532dc23d4b4fb12a571c630c3b159514fb86f61e5c6e0ab7ebc1572f2e9ac,47.0,3.0,39.8936,144.1667,23.5,118.0,124.0,4.4702,Viernes,2023-10-06,2023,10,6,-0.433883739117558,-0.9009688679024191,a99049db5945256382d1ec5e9d85935483453aa4f9531bde438d9b111d6868a1,1379.2883,True
483fe5b436f370171a15a80520839049bd7c4b8416c28ef6e08c6eb1af0a6ca3,0.0,0.0,93.9792,293.1667,24.0,110.0,122.0,10.3771,Martes,2023-07-11,2023,7,11,0.7818314824680298,0.6234898018587336,3544a9c44aff0b0f4350dafe509cc3dc5866cc5b4a00ad5f943d6308ac860e1b,2.5889,True
483fe5b436f370171a15a80520839049bd7c4b8416c28ef6e08c6eb1af0a6ca3,0.0,0.0,89.963,155.0,13.5,112.0,122.0,9.8778,Miercoles,2023-07-12,2023,7,12,0.9749279121818236,-0.22252093395631434,3544a9c44aff0b0f4350dafe509cc3dc5866cc5b4a00ad5f943d6308ac860e1b,2.5889,True
483fe5b436f370171a15a80520839049bd7c4b8416c28ef6e08c6eb1af0a6ca3,0.0,0.0,94.1915,282.75,23.5,112.0,124.0,9.5319,Lunes,2023-07-10,2023,7,10,0.0,1.0,3544a9c44aff0b0f4350dafe509cc3dc5866cc5b4a00ad5f943d6308ac860e1b,2.5889,True
483fe5b436f370171a15a80520839049bd7c4b8416c28ef6e08c6eb1af0a6ca3,32.0,5.0,93.8261,142.9167,11.5,108.0,122.0,10.9348,Domingo,2023-07-09,2023,7,9,-0.7818314824680299,0.6234898018587334,3544a9c44aff0b0f4350dafe509cc3dc5866cc5b4a00ad5f943d6308ac860e1b,2.5889,True
